category_name,subCategory_name
Sanitaryware & Bath Fitting,Faucet & Drain
Sanitaryware & Bath Fitting,Toilet/ Water Closet
Sanitaryware & Bath Fitting,Wash Basin/ Sink
Sanitaryware & Bath Fitting,Storage & Organiser
Sanitaryware & Bath Fitting,Mirror
Sanitaryware & Bath Fitting,Shower
Sanitaryware & Bath Fitting,Bathroom Set
Sanitaryware & Bath Fitting,Bathtub
Sanitaryware & Bath Fitting,Urinal
Sanitaryware & Bath Fitting,Equipment
Sanitaryware & Bath Fitting,Bidet
Lighting,Ceiling Light
Lighting,Wall Light
Lighting,Bulb
Lighting,Fan
Lighting,Lamp
Lighting,Cupboard Light
Lighting,Commercial Lighting
Lighting,Outdoor Lighting
Lighting,Flash Light
Kitchen,Faucet
Kitchen,Sink
Kitchen,Counter Splashback
Kitchen,Cabinet Structure
Kitchen,Countertop
Kitchen,Appliance
Kitchen,Basket
Kitchen,Hinge
Kitchen,Channel
Kitchen,Handle
Kitchen,Flooring
Kitchen,Wall Finish
Kitchen,Cabinet Finish
Kitchen,Lighting
Kitchen,Fixing Accessories
Hardware,Cabinet
Hardware,Door
Hardware,Window
Hardware,Fastener
Hardware,Lock
Hardware,Tape
Hardware,Tool
Hardware,Furniture & Wardrobe
Hardware,Basket
Hardware,Hinge
Hardware,Channel
Hardware,Handle
Hardware,Glass
Hardware,uPVC
Appliance & Equipment,Air Conditioner/ AC
Appliance & Equipment,Refrigerator
Appliance & Equipment,Cleaning
Appliance & Equipment,Kitchen
Appliance & Equipment,Heating
Appliance & Equipment,Washer & Dryer
Appliance & Equipment,Other
"Wire, Cable & Accessory",Wire/ Cable
"Wire, Cable & Accessory",Circuit Breaker & Panel
"Wire, Cable & Accessory",Electrical Accessory
"Wire, Cable & Accessory",Electrical Tool
"Wire, Cable & Accessory",Security
"Wire, Cable & Accessory",Smart Home
Wall & Ceiling Finish,"Paint, Stain, Laquer & Applicator"
Wall & Ceiling Finish,"Putty, Primer & Filler"
Wall & Ceiling Finish,False Ceiling
Wall & Ceiling Finish,Wall Paper
Wall & Ceiling Finish,Wall Panel & Cladding
Wall & Ceiling Finish,Tile
Wall & Ceiling Finish,Groove & Spacer Profile
Flooring,Tile Flooring
Flooring,Wood & Wooden Finish
Flooring,Stone & Concrete Flooring
Flooring,Carpet Flooring
Flooring,Other Flooring
Flooring,Feature Floor
Flooring,Profile
"Wood Product, Plywood & Laminate",Plywood
"Wood Product, Plywood & Laminate",Circuit Breaker & Panel
"Wood Product, Plywood & Laminate",WPC Board
"Wood Product, Plywood & Laminate",Veneer
"Wood Product, Plywood & Laminate",Laminate
"Wood Product, Plywood & Laminate",Others
"Wood Product, Plywood & Laminate",Wood/ Timber
"Wood Product, Plywood & Laminate",Decking
"Wood Product, Plywood & Laminate",Moulding & Millwork
Door and Window,Door
Door and Window,Door Frame
Door and Window,Threshold
Door and Window,Window
Door and Window,Window Frame
Door and Window,Skylight
"Pipe, Plumbing & Fitting",Pipe
"Pipe, Plumbing & Fitting",Fitting
"Pipe, Plumbing & Fitting",Material for Fittings
"Pipe, Plumbing & Fitting",Adhesive
"Pipe, Plumbing & Fitting",Sealant
"Pipe, Plumbing & Fitting",Waterproofing Material & Additative
"Cement, Steel & Brick",Cement
"Cement, Steel & Brick",Steel
"Cement, Steel & Brick",Brick
"Cement, Steel & Brick",Aggregate
"Cement, Steel & Brick",Premix
Blind and Window Treatment,Blind
Blind and Window Treatment,Shade
Blind and Window Treatment,Curtain & Curtain Hardware
Blind and Window Treatment,Plantation Shutter
Blind and Window Treatment,Window Film
Blind and Window Treatment,Curtain & Drape
Blind and Window Treatment,Curtain Rod & Hardware
Blind and Window Treatment,Window Scarve & Valance
Cleaning,Waste Bin & Bag
Cleaning,Dishwashing Accessory
Cleaning,Laundry Cabinet & Shelving
Cleaning,Laundry Basket
Cleaning,Laundry Accessory
Cleaning,Cleaning Accessory
Cleaning,Drying Rack
Cleaning,Ironing Board
Décor and Furniture,Home Accent
Décor and Furniture,Wall Décor
Décor and Furniture,Bed & Bath
Décor and Furniture,Seating & Sofa
Décor and Furniture,Table & Storage
Décor and Furniture,Set
Décor and Furniture,Rug & Mat
Heating and Cooling,Air Conditioning 
Heating and Cooling,Heating
Heating and Cooling,Material for Fitting
Outdoor Living,Patio Furniture
Outdoor Living,Equipment
Outdoor Living,Landscaping
Outdoor Living,Décor
Outdoor Living,Pot & Plant
Outdoor Living,Fencing
Outdoor Living,Shed & Gazebo
Outdoor Living,Grill
Outdoor Living,Pool
Automation and Security,Home Automation
Automation and Security,Security
Storage & Organisation,Bookcase & Shelving Unit
Storage & Organisation,Storage Solution System
Storage & Organisation,Cabinet & Cupboard
Storage & Organisation,TV & Media Furniture
Storage & Organisation,Chest of Drawer & Drawer Unit
Storage & Organisation,Wardrobe
Storage & Organisation,Small Storage & Organiser
Storage & Organisation,"Sideboard, Buffet & Console Table"
Storage & Organisation,Hook & Wall Organisation
Storage & Organisation,Cloth Stand & Shoe Rack
Storage & Organisation,Trolley
Storage & Organisation,Bag
Storage & Organisation,Moving Supply
Storage & Organisation,Wall Shelf
Power & Hand Tool,Power Tool
Power & Hand Tool,Hand Tool
Power & Hand Tool,Safety Personal Equipment 
Power & Hand Tool,Safety Equipment 
Power & Hand Tool,Safety Paint
Power & Hand Tool,Fire safety Equipment 
Power & Hand Tool,Surveillance Systems 
Cladding and Façade,Interior Wall Cladding
Cladding and Façade,Exterior Wall Cladding
Cladding and Façade,Façade System
Glass & Film,Façade Glass
Glass & Film,Interior & Special Use Glass
Glass & Film,General Use
"Adhesive, Sealant & Chemical",Adhesive
"Adhesive, Sealant & Chemical",Sealant
"Adhesive, Sealant & Chemical",Waterproofing Chemical & Additative
Solar Panel & Equipment,Solar electric System
Solar Panel & Equipment,Solar Photovoltaic Panel 
Solar Panel & Equipment,Solar Accessories 
Solar Panel & Equipment,Solar Hot water 
Solar Panel & Equipment,Solar Equipment 
Fabric & Unholstery,Curtain fabric
Fabric & Unholstery,Sofa fabric
Fabric & Unholstery,Bedsheet & covers
Fabric & Unholstery,Comforters
Fabric & Unholstery,Furniture foam
